start,stop,PCorr,SCorrS,ScorrQ,PartialCorr,pval
0,13,0.055906493878583124,0.08989606010573167,0.1099836664271471,-0.02658933018460534,0.574152389591849
0,14,0.05418771329943917,0.08600046206830826,0.10307219309588085,-0.03141008119980316,0.5067695408367212
0,15,0.054473313164031645,0.08414478305525888,0.10065701960583778,-0.034148279440624964,0.47042816976316826
0,16,0.045490221167127656,0.07992936004151288,0.09940457962560571,-0.04561403307358165,0.33486959401732586
0,17,0.043566889934748707,0.07841234956903509,0.09865781731132547,-0.048300367633922967,0.30715514123770604
0,18,0.045910813120780075,0.07237915438032384,0.09083472364201547,-0.04848736166051279,0.3052839944902652
0,19,0.050048821448337485,0.07815579479805061,0.09719141371508018,-0.04663344485466515,0.32416896199845635
0,20,0.042377807165245834,0.07150514545267193,0.08980111986577664,-0.0574387877976055,0.22447426824237743
0,21,0.038538060910999886,0.05839137778130758,0.07953875683581113,-0.06400988926145328,0.1757513189377269
0,22,0.03351834589167858,0.04879915592934419,0.07194957280433577,-0.07178807690065657,0.12879220160069385
0,23,0.03197163383565979,0.048787110902828106,0.07242359129769384,-0.0742587427467138,0.11611335445283308
0,24,0.034872997111836515,0.050196970173443024,0.0726875729133074,-0.07058718388953159,0.13533001407681644
0,25,0.03166588966547786,0.04607165306560329,0.06689280596075924,-0.07562431571073168,0.10953739210333743
0,26,0.03816107914259221,0.04713377873190443,0.06677468363518471,-0.06953472266304597,0.14126726260496242
0,27,0.04261590237386847,0.05076336159010366,0.0706722669923048,-0.06512043066363099,0.16835982078107536
1,3,-0.008369784315927407,-0.037538003482303677,-0.01484641813833861,-0.05374591072537574,0.2557463595060564
1,4,-0.007389457907804826,-0.009673309923831929,0.010397702003454492,-0.055358345750787796,0.24173936186883369
1,5,0.027049534398324138,0.033752242279032646,0.04742434169247934,-0.022955970586488572,0.6275796682404884
1,6,0.03633930715202116,0.04129114088468401,0.054892194486899366,-0.015788330971861046,0.7386535209673467
1,7,0.04528626168505598,0.0594462303511549,0.07684423527508166,-0.011274347141520952,0.8116943613710356
1,8,0.056923808459739246,0.07637374854417353,0.09713394513089478,-0.00413266472635067,0.9304124953118804
1,9,0.05161107375678961,0.07285903573739258,0.09452904330518597,-0.012212766242073805,0.796351238384647
1,10,0.041384796634554924,0.06936989670419137,0.0933380644448115,-0.02833577804726947,0.5492589595098983
1,11,0.04811990373726041,0.07921600224187303,0.10117614205248608,-0.022805121507792826,0.6298432294988618
1,12,0.059284846484421956,0.08927897855307,0.1102739359483871,-0.013765526694039772,0.7711377609734512
1,13,0.04722648986371549,0.07580534468582581,0.09531966020041435,-0.03103407202989731,0.5118723061799086
1,14,0.046060427894317774,0.0728088739253996,0.0890866591949695,-0.03588871010162484,0.4480962388083132
1,15,0.04673366530881806,0.07267237063439415,0.08865683120384107,-0.03844681445814907,0.4163883774353899
1,16,0.03769579913575622,0.06879670609917139,0.08833080387831883,-0.05004860156090025,0.2899561029741725
1,17,0.03611026599462208,0.06510454779823156,0.08556380782773026,-0.052549930097804405,0.2664921757681331
1,18,0.038846593105090414,0.06060559572024437,0.07842365356026511,-0.05247457241257822,0.2671794787494011
1,19,0.04340690289308766,0.06853017061611132,0.08699295581166284,-0.05029656005226912,0.2875700699171404
1,20,0.035726477284597824,0.061617452218552665,0.0797043282984735,-0.06114801323849142,0.1959066861260797
1,21,0.032033130860734046,0.04790280847966788,0.06895002052994074,-0.06768778341425392,0.15216587289072134
1,22,0.02714616311012714,0.03934023514808784,0.06240440381845931,-0.07543080212493108,0.11045100944191391
1,23,0.02583797049627454,0.04007030989093027,0.06367722832662612,-0.07792739748810111,0.09911534372891237
1,24,0.029045100893856292,0.04298045173444988,0.0651231912969391,-0.07412041523471022,0.11679636462483824
1,25,0.025949223521397474,0.037883116468479576,0.058109463241359495,-0.07911092173593186,0.09407509787310198
1,26,0.032801840613067776,0.039406376561608246,0.058822597956023175,-0.07279439427580951,0.12350434943316353
1,27,0.037567182907015634,0.041591837615500685,0.06165414505686302,-0.06818969358894375,0.14914291737798127
2,4,-0.0011918565923459204,-0.014096547483657827,-0.0037619964352592077,-0.0369659684739383,0.4345799383779758
2,5,0.043000435920158106,0.042762268501716605,0.046945021564542805,0.00408881662345681,0.9311489886578347
2,6,0.050107726967640986,0.05258211045945791,0.059391971571143225,0.007133687414545722,0.8801802820063054
2,7,0.05752218999662219,0.06958424448026478,0.08277335467588086,0.008737822763527227,0.8535125440617353
2,8,0.0686217675518356,0.09124852609199877,0.10749524491410298,0.014165399044400784,0.7646823627565488
2,9,0.061031252864195876,0.0856231027908447,0.10315400125959603,0.0031530805702728944,0.9468790466994366
2,10,0.04845047661522438,0.0792724899666375,0.10006860875631629,-0.015803997225832492,0.738403657967555
2,11,0.055020288246604744,0.09000119205073043,0.10877340478391068,-0.011005100473455383,0.8161101548774489
2,12,0.06647097385756186,0.09901623633660195,0.11682412451618447,-0.0021093940087777686,0.9644478937170622
2,13,0.052995114169909,0.08562541024832762,0.10148051471422051,-0.02109924983743982,0.6556778166910924
2,14,0.05126902234039332,0.08029415348758022,0.0930070251846846,-0.02669119419640774,0.5726859361646406
2,15,0.05153379890277447,0.07773132865668464,0.09067770609863209,-0.02970889408084984,0.5300668440194725
2,16,0.04167965921946045,0.07315642944462313,0.08992704186397918,-0.042270841986430885,0.3715328748557528
2,17,0.039772445037009836,0.06997088892585833,0.08754789536575835,-0.045321892620383594,0.3379775014114089
2,18,0.04239153065738123,0.06494011974860657,0.08040524579672935,-0.04540825496116656,0.33705682762827116
2,19,0.046918734316459945,0.07340968716889956,0.08989753344798616,-0.043328727400861466,0.3596720287309396
2,20,0.03873212756426657,0.06474274452593083,0.08107832666712546,-0.05478851813389886,0.24662657825479128
2,21,0.034770953798049675,0.05167058814827703,0.07086509785512433,-0.06180330635917038,0.19114889330082716
2,22,0.029577660465898926,0.04419279831400109,0.06483360922978633,-0.07007940263236398,0.1381701211560632
2,23,0.02813305407310122,0.043180308534207325,0.06425928896889521,-0.07289458477207761,0.12298726688227006
2,24,0.03139704390956571,0.045588225382218024,0.06609053000403584,-0.06918395163396131,0.1432897781318398
2,25,0.02808886920611254,0.041330694125483874,0.05971559480892885,-0.07444327856337711,0.11520705965962759
2,26,0.03509337231813462,0.04175337151685463,0.059862442667232216,-0.0680018040679623,0.15026916260668247
