header,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
row_1,-0.11987712085917979,-0.07049601745163021,-0.08536328666344882,-0.06692589508467123,-0.08993818485551335,-0.12592165266403577,-0.1248523386926655,-0.13356200382383868,-0.14360091132417044,-0.14867273435765754,-0.16878923512973215,-0.1755594615039537,-0.1625813780232951,-0.1647736243334639,-0.14838350252832486,-0.1492712424942024,-0.15308397376460292,-0.15299892159022943,-0.14962333951848056,-0.14907872516730836,-0.152754243885773,-0.15263893643622345,-0.1534110876150181,-0.15256625782416378,-0.15362248545171897,-0.1531352509757391,-0.162962833720385,-0.16244359384267065,-0.16652490543816928,-0.16602692413895043,-0.17761119447357426,-0.17684576145803488,-0.1766760484308207,-0.17596479414579028,-0.17566903357228097,-0.17497088702817548,-0.17170309884843055,-0.17169847522360598,-0.17323839080961664,-0.17344960225309364,-0.17227214579949196,-0.17242262877951403,-0.1661353599321807,-0.16637431513442613,-0.16565430760783387,-0.16569421311838828,-0.16594188420867528,-0.16616712826520508,-0.16637290977443014,-0.16768984588485453
row_2,-0.09644236392283438,-0.11170265080719646,-0.11909346586614558,-0.09959593617985041,-0.11314988329062096,-0.09577310639728553,-0.10921811844557197,-0.13291823468729808,-0.15778787518076415,-0.16491989405243895,-0.153271399944027,-0.15725520859732106,-0.14563299122358167,-0.1466420437364514,-0.14953475756435358,-0.1522224925269577,-0.14906097689365932,-0.14963671474618978,-0.1533509843017698,-0.1533176861534134,-0.15496745467521594,-0.1546994617141485,-0.15557815257137853,-0.15438215560320764,-0.16406704470299666,-0.16347451553068693,-0.16758716649733163,-0.16703209036707034,-0.17871366712585574,-0.17815100628004144,-0.17796002753021625,-0.17743647449662792,-0.1767902361053011,-0.17624594523818893,-0.173145062644949,-0.17250169217115338,-0.1738394153475698,-0.1732239193317356,-0.17199193158744328,-0.1720379771493771,-0.16559745348483734,-0.16589755735338846,-0.16522887075399834,-0.1654734203685537,-0.165576124750787,-0.1657932498349525,-0.16534690732457943,-0.1656308159846428,-0.1658561993811385,-0.16569417828463262
row_3,-0.08713198452210269,-0.09905668080126101,-0.11369963623318163,-0.13247796009828813,-0.14164323399334572,-0.1237531054483051,-0.16097493611920483,-0.14416169831777664,-0.14463769148382688,-0.14923022860168803,-0.14133619228088384,-0.14373379836918637,-0.14679740287621645,-0.1480707573488776,-0.14583650903283607,-0.14714137015485468,-0.15425343988226864,-0.15389860276865197,-0.15531056140881966,-0.15461539827150939,-0.1552502934997929,-0.15579031365140147,-0.16519394206760807,-0.16506159390538083,-0.1690433690954934,-0.1681888974807471,-0.17974339680564755,-0.17923135805787538,-0.17901539295464453,-0.178514914800425,-0.17765177353072256,-0.17721913580249826,-0.17424976789770086,-0.17375792901739323,-0.17467412714009894,-0.17430437760660036,-0.1725384163113286,-0.17225281896751826,-0.1658053491636176,-0.1654280219331012,-0.16526280830415507,-0.16522737795998935,-0.16559106894166636,-0.16558880927886516,-0.16522668228335516,-0.16519675144518323,-0.16604547650532964,-0.1659585992799429,-0.16562944723292938,-0.16561698909956957
row_4,-0.08245109785458676,-0.10581081564793038,-0.11454697016283176,-0.12547265977758215,-0.151635588813625,-0.17465631074656263,-0.16929351411021093,-0.15443383069404965,-0.14525065047853075,-0.1406859181402172,-0.14430026625389464,-0.14497143487199857,-0.1465555835828502,-0.1477035754976835,-0.1562108569609581,-0.1545146559358558,-0.15710122732065956,-0.15625230906153934,-0.15684268747536528,-0.15599948312347559,-0.16487831162581268,-0.1645075692224146,-0.16915179968649655,-0.16920262484414358,-0.18047830620492278,-0.18033676234672813,-0.17999175095065278,-0.17945392782392844,-0.17831191810651525,-0.1780099234301086,-0.17532307570082695,-0.1747411852436903,-0.17529029071809946,-0.17495013686490002,-0.17302160598618546,-0.17280929718845203,-0.16649993235404897,-0.16617092174170528,-0.1661610615500822,-0.16572858471414703,-0.1660611318142881,-0.1656284936716573,-0.1651791853625885,-0.1652169773637498,-0.16627772188762582,-0.16624253528961602,-0.16590130037577788,-0.16573049646573507,-0.16466028091473356,-0.16455228575994751
row_5,-0.030931994453402112,-0.08627027710226062,-0.11669411930936122,-0.13967002338725448,-0.1528962903730903,-0.1608621013239036,-0.15935931190586222,-0.1533406970902629,-0.1468250080636802,-0.14893713019028545,-0.14743631821474731,-0.14652619681591894,-0.1590052197224253,-0.15568746483226914,-0.1608773586530316,-0.1593891117198837,-0.16053187117765935,-0.158180389730201,-0.16673354025234405,-0.16570102770344147,-0.17107349501013247,-0.17024855332009597,-0.1813889335560303,-0.1803883673619007,-0.1802383908532691,-0.1802025430819728,-0.17889308777298304,-0.1787106365833111,-0.1759868129726861,-0.17561145858714133,-0.17585658936409898,-0.17573918564225044,-0.1737878786614629,-0.17333879673368513,-0.16698294577807765,-0.1667330556725161,-0.1668031721322119,-0.16652210330102468,-0.166775646040283,-0.16644656416549353,-0.16587115571684585,-0.165542995017522,-0.16622503319772133,-0.1662545857918397,-0.16721941213314195,-0.16660678458769101,-0.16539316505357127,-0.1646751831240409,-0.1639916596801754,-0.1639748441500359
row_6,-0.07586285605952353,-0.07783427113837293,-0.1132681737524639,-0.14130305577097352,-0.15343450562867422,-0.17325560341291046,-0.15894959196951094,-0.15234546543201977,-0.15000432294409677,-0.15045298151885825,-0.16280293973741627,-0.15868591407158808,-0.1666425488408652,-0.16476688060244216,-0.16318748855437512,-0.16207195525563983,-0.17030563999146986,-0.1687606661571308,-0.17489178879915263,-0.17206293492445945,-0.1831776848400922,-0.18214243778997347,-0.1819691404865122,-0.18125001710250382,-0.17959769854212407,-0.1788124864337721,-0.17604606900407568,-0.17604703043689723,-0.1762265672588062,-0.17632877566323557,-0.17475460692202394,-0.17388046240501165,-0.16748142764548005,-0.16742783308344894,-0.16747394091780632,-0.16707303303295185,-0.16719742804732074,-0.16698819857571376,-0.16643329688793182,-0.16617083097442795,-0.16635613857344128,-0.16626821704578088,-0.16770856597945755,-0.16748710763335,-0.16635855656157295,-0.16605742222302447,-0.16540659672114438,-0.16472619449804185,-0.1642798775681579,-0.1634484965079429
row_7,-0.0665209762112236,-0.11127542800389495,-0.1182357105827953,-0.12170880139382326,-0.11566393292725236,-0.1472002552843506,-0.1573484913512374,-0.1565157177666775,-0.164094712020377,-0.16197898827720467,-0.16889941184575197,-0.16995253803803972,-0.1684647065752623,-0.16648220552432058,-0.17457922396143538,-0.17119693942884937,-0.17802333043222252,-0.17707919455586046,-0.18832075598066494,-0.186098656425509,-0.18583339003410143,-0.18300835293031587,-0.18076917471360102,-0.17995625957511324,-0.17721562567044497,-0.17683428320918282,-0.1763514356704603,-0.17612857588802322,-0.1747329739630118,-0.1748151084781016,-0.16818231199106032,-0.16819820232643473,-0.16794897722082053,-0.1674440511746071,-0.16741392611632278,-0.16752027108938133,-0.16697731099613586,-0.16666607988985085,-0.166659234985518,-0.166509131675326,-0.16816001443157763,-0.1679142876754547,-0.16679355412188723,-0.16659776587326824,-0.16595649854922537,-0.1657199823988324,-0.16508410596719747,-0.16507932972040498,-0.16480932130092385,-0.16398928735706003
row_8,-0.0781620348256313,-0.07681505325987158,-0.07722736284653248,-0.11129718656071685,-0.13313859761423363,-0.13318739431542712,-0.16408667447172787,-0.1704291616262854,-0.1735883839663943,-0.17532735942559619,-0.17474998201008035,-0.16891081180029768,-0.17620180127582208,-0.17642979141088982,-0.1827389413265186,-0.18148503922861464,-0.19255534146324838,-0.1893945300731519,-0.18883720394141845,-0.18808731858635655,-0.18517507055641627,-0.1832354903006741,-0.17934429989468395,-0.17809152085881363,-0.17714235406536222,-0.1764924182272054,-0.17547834350524544,-0.17503659698524426,-0.16826117808552715,-0.16801713718772632,-0.1679026947260915,-0.1680125855382259,-0.16750491465608644,-0.16774836465325116,-0.16700900504726268,-0.16684787547718577,-0.1667249814060698,-0.16683272088763457,-0.16855514507856795,-0.16835693080999253,-0.1672084044485212,-0.1670231656001424,-0.16626959439472105,-0.16614464519586036,-0.16521513427788326,-0.16515246393599942,-0.16475244926904592,-0.16474916764417127,-0.15984886603024556,-0.15930647290076538
row_9,-0.06874791801260835,-0.0712231112996359,-0.11054429237920907,-0.10371686222211383,-0.13495767090456057,-0.16227436507453044,-0.17932002800374364,-0.17298155784899197,-0.1739497162085581,-0.1746405654144091,-0.1823275393375421,-0.1817739471175704,-0.1898455023602192,-0.1846558054823735,-0.1964549411658869,-0.19391523325418447,-0.19338090752505033,-0.19237538699634238,-0.18736723796211216,-0.18517906547101776,-0.18074236186629222,-0.17997250220310204,-0.1784430811198392,-0.17794161893906785,-0.17716026198731621,-0.1764232189960292,-0.16908532906778145,-0.16861600932826348,-0.16864539064707457,-0.16819702262847494,-0.16753353123368625,-0.16735682708968957,-0.16642571193147862,-0.16669015165686918,-0.1665193356481688,-0.16666484301469436,-0.16833628770672343,-0.16843159999656881,-0.16732654759474683,-0.1673625667353995,-0.16646969873862869,-0.1663727573712581,-0.16521394263042288,-0.16519484739091495,-0.1647123662260818,-0.1647781266433757,-0.16070990306737148,-0.16030945714583159,-0.15211418240043417,-0.15078417739826452
row_10,-0.027128943181542985,-0.09781601082376952,-0.13595062819855797,-0.14565194978021012,-0.150922359635156,-0.14541579724443765,-0.15242923211049916,-0.1789911993668806,-0.1876475565621738,-0.18205763222608942,-0.19264533832473218,-0.1928865714697422,-0.2060937518586218,-0.20275103767351743,-0.20074473082159666,-0.19555614636979024,-0.19128006233840378,-0.18881320652695632,-0.18472739719769382,-0.18323343089543426,-0.18050608838749496,-0.1790746666413536,-0.17851177742190355,-0.1776433423523407,-0.17000224216627063,-0.16947420953484738,-0.16975946523847618,-0.16916523724621207,-0.1683185786369082,-0.16784428788864741,-0.16676004540151865,-0.16653123822766078,-0.16624660750029574,-0.16628769394953738,-0.16794547196429133,-0.16819019325449486,-0.1672297474019559,-0.16731656116019947,-0.16638648521079247,-0.16642608989005941,-0.16544754862376,-0.16524759329021754,-0.16470092845064788,-0.164693373435438,-0.16119364313289164,-0.16095238026396405,-0.15407794284761056,-0.15321349735153034,-0.1514806791390249,-0.15032422009033752
